domain,ddg_join_ads,cookies,canvas_fingerprinters,session_recorders,key_logging,fb_pixel_events,ga,traffic_rank
https://www.mapletreefunding.com/,7,4,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://mfmbankers.com/,6,3,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://modernloans.com/,5,1,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://migonline.com/,7,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://mortgagesolutions.net/,9,5,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://mortgageright.com/,3,3,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://www.morty.com/,9,3,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://njlenders.com/,5,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://nrlmortgage.com/,5,4,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://nrlmortgage.com/,5,4,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.networkcapital.com/,7,4,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://norcommortgage.com/,10,13,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://northernmtg.com/,6,5,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.northportfunding.com/,4,4,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://norcommortgage.com/,10,13,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.novushomemortgage.com/,7,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://oceansmortgage.com/,12,22,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.omglending.com/,7,7,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.parkcommunity.com/,20,49,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://www.peopleschoicemortgage.com/,5,2,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://pillarmortgage.com/,29,65,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.pinnacleloans.com/,5,2,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.pitchedison.com/,5,3,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.pmrloans.com/,6,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://pricemortgage.com/,3,5,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://www.princetonmortgage.com/,6,8,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.masonmac.com/,4,6,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://stockton.com/,7,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://rcghomeloans.com/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.radiusgrp.com/,7,9,FALSE,TRUE,TRUE,TRUE,TRUE,-1
https://www.reliabank.com/,6,4,TRUE,FALSE,FALSE,TRUE,TRUE,-1
https://www.rclfms.com/,13,24,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.resourcefinancialservices.com/,33,71,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.royalunitedmortgage.com/,4,6,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.sclmortgage.com/,36,67,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.sammamishmortgage.com/,18,45,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://silvertonmortgage.com/,5,1,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.sixpillarlending.com/,7,16,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.skowhegan.com/,18,36,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://southstarbank.com/,5,5,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.yourstatebank.com/,11,24,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://stockton.com/,7,1,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.summit-mortgage.com/,15,29,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.sfcorp.net/,3,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://syntexmortgage.com/,2,0,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://mortgageright.com/,3,3,FALSE,TRUE,FALSE,TRUE,FALSE,-1
https://texanabank.com/,16,27,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://flamortgagefirm.com/,20,51,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.thrivemortgage.com/,7,9,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.tidewatermortgage.com/,19,37,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.tsmlending.com/,6,7,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.treadstonemortgage.com/,5,4,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://www.utfinancial.org/,20,37,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.upequity.com/,12,14,FALSE,TRUE,TRUE,TRUE,TRUE,-1
https://www.veteransfirst.com/,6,9,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.veteransfirst.com/,10,24,FALSE,TRUE,FALSE,TRUE,TRUE,-1
https://wvmb.com/,7,10,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.wesleymortgage.com/,9,19,FALSE,FALSE,FALSE,TRUE,FALSE,-1
https://www.wintrustmortgage.com/,10,10,FALSE,FALSE,FALSE,TRUE,TRUE,-1
https://www.zeromortgage.com/,9,15,FALSE,FALSE,TRUE,TRUE,TRUE,-1
